,city,temp_max,clouds,lat,wind_speed,humidity
128,Montepuez,293.698,44,-13.13,1.26,96
129,Sisimiut,251.098,0,66.94,2.31,100
130,Vao,268.498,76,59.1,3.86,94
131,Nagykanizsa,269.148,56,46.45,2.06,88
132,Tiksi,230.598,0,71.64,1.26,0
133,Marawi,295.248,80,8.0,1.66,99
134,Nishihara,280.15,20,35.74,12.3,30
135,Atuona,300.648,92,-9.8,7.21,100
136,Katsuura,279.15,40,33.93,4.6,60
137,Aklavik,247.15,75,68.22,1.5,75
138,Sitka,270.198,0,37.17,0.96,72
139,Ahipara,297.448,36,-35.17,3.11,67
140,Esperance,297.15,20,10.24,3.1,73
141,Ploemeur,281.15,75,47.73,6.2,75
142,Upernavik,253.723,0,72.79,3.01,100
143,Chokurdakh,237.873,36,70.62,1.96,55
144,Yulara,308.15,0,-25.24,5.7,26
145,Provideniya,260.15,40,64.42,7.0,92
146,Ilulissat,259.15,0,69.22,4.6,46
147,Hofn,271.323,0,64.25,11.36,100
148,Hamada,277.15,75,34.9,1.5,86
149,Margate,291.15,40,-43.03,4.6,36
150,Dalby,304.15,0,-27.18,8.2,33
151,Tuatapere,287.048,0,-46.13,8.41,89
152,Kahului,294.15,90,20.89,17.5,100
153,Bambous Virieux,298.15,40,-20.34,4.56,88
154,Atar,283.048,12,20.52,2.06,61
155,Alice Town,294.823,56,25.72,9.36,100
156,Moctezuma,285.948,56,29.81,1.71,53
157,Keflavik,269.15,75,64.0,6.2,73
158,Ugoofaaru,300.723,0,5.67,7.51,100
159,Batticaloa,298.798,100,7.71,2.96,100
160,Dingle,300.948,0,11.0,7.76,60
161,Palmas,298.848,0,-10.18,3.61,71
162,Alice Springs,307.15,75,-23.7,7.2,34
163,Winnemucca,280.95,1,40.97,4.1,62
164,Talnakh,228.223,20,69.49,1.91,0
165,Miechow,269.15,8,50.36,2.6,92
166,Saint George,276.15,20,39.45,2.6,74
167,Faruka,281.148,20,31.89,2.06,98
168,Dzilam Gonzalez,298.123,0,21.28,3.41,55
169,Saint Augustine,297.15,20,10.65,3.1,73
170,Iqaluit,264.15,75,63.75,6.7,61
171,Chiredzi,292.373,0,-21.05,1.66,81
172,Guerrero Negro,286.948,48,27.97,3.21,97
173,Ninghai,278.15,90,29.29,4.0,65
174,Dongying,276.323,0,37.43,3.76,67
175,Romitan,276.15,0,39.93,3.1,93
176,Wanaka,287.348,0,-44.7,2.91,41
177,Faya,286.15,0,18.39,2.1,82
178,Augustow,272.223,92,53.84,1.41,98
179,Butaritari,301.348,80,3.07,4.91,100
180,Santiago del Estero,296.248,64,-27.8,3.06,97
181,Resplendor,296.223,0,-19.33,2.16,70
182,Rudraprayag,278.798,80,30.29,0.91,90
183,Saint-Pierre,278.15,0,48.95,5.7,93
184,Geraldton,243.15,5,49.72,2.6,67
185,Albany,259.15,1,42.65,2.1,48
186,Nikolskoye,267.15,90,59.7,1.0,92
187,Tual,302.298,44,-5.67,8.16,97
188,Karpathos,287.15,24,35.51,8.2,67
189,Kaitangata,288.823,8,-46.28,10.51,59
190,Brusque,300.15,20,-27.1,2.6,78
191,Komsomolskiy,233.623,0,67.55,2.41,0
192,Makokou,294.973,68,0.56,1.16,99
193,Nakonde,290.898,88,-9.33,1.46,94
194,Omboue,300.848,88,-1.57,3.01,100
195,Yeppoon,304.15,0,-23.13,5.7,38
196,Tuktoyaktuk,244.15,20,69.44,3.6,75
197,Narsaq,265.15,48,60.91,1.5,52
198,Henties Bay,289.798,92,-22.12,1.06,100
199,Mae Chan,291.15,12,20.15,1.06,88
200,Conakry,299.723,0,9.52,4.31,100
201,Beringovskiy,267.323,92,63.05,9.31,94
202,Grindavik,269.15,75,63.84,6.2,73
203,Maltahohe,292.073,0,-24.83,2.61,29
204,Yantal,249.998,44,56.85,1.56,65
205,Carnot,292.498,32,4.94,1.36,46
206,Liwale,295.398,92,-9.8,1.41,95
207,Conceicao da Barra,300.623,0,-18.59,4.91,89
208,Naron,281.15,40,43.52,9.8,81
209,Hay River,250.15,40,60.82,8.2,69
210,Palimbang,301.15,40,14.9,2.1,74
211,Praia da Vitoria,287.15,40,38.73,6.36,71
212,Inta,246.373,48,66.04,2.21,72
213,Cobija,296.223,68,-11.02,0.96,95
214,Itarema,298.698,56,-2.92,2.41,92
215,Bay Roberts,267.15,40,47.58,12.3,57
216,Gilgit,263.973,68,35.92,0.41,89
217,Tarakan,302.15,40,3.3,3.1,74
218,Clyde River,248.15,90,70.47,4.1,75
219,Paraiso,282.248,0,24.01,4.01,35
220,Rio Muerto,290.15,75,27.42,1.0,67
221,Port Elizabeth,263.75,1,39.31,3.01,63
222,Nome,286.65,90,30.04,5.1,82
223,Porto Velho,297.15,40,-8.75,0.5,94
224,Havelock,274.25,1,34.88,2.41,66
225,Galdar,291.15,75,28.15,3.6,59
226,Ambulu,301.698,20,-8.35,0.51,100
227,Coahuayana,286.248,0,18.62,0.91,71
228,Hithadhoo,301.823,56,-0.6,7.01,100
229,Mitu,272.698,36,36.2,2.26,89
230,Nelson Bay,295.15,90,-32.72,7.7,73
231,Lisakovsk,258.848,88,52.55,3.76,81
232,Ayorou,286.848,0,14.73,1.46,37
233,Samarai,302.573,44,-10.62,2.11,100
234,Belfast,273.15,0,54.6,2.1,100
235,Khujner,284.098,0,23.78,2.56,78
236,Bocaiuva,296.498,0,-17.12,4.06,50
237,Erzin,283.15,75,36.95,2.1,100
238,Hovd,272.15,0,63.83,5.7,58
239,Ancud,284.15,0,-41.87,5.1,81
240,Zhigansk,231.823,8,66.77,4.11,0
241,Sorong,299.623,92,-0.86,3.41,100
242,Ribas do Rio Pardo,302.073,48,-20.45,2.06,45
243,Mumford,298.073,0,5.26,1.96,93
244,Pa Sang,296.15,20,18.53,2.1,64
245,Ambagarh Chauki,288.048,0,20.78,2.41,65
246,Puerto Ayacucho,302.15,0,5.66,2.1,62
247,Rio Gallegos,283.15,0,-51.62,6.7,57
248,Te Anau,287.098,0,-45.41,4.51,50
249,Tessalit,280.698,0,20.2,1.81,43
250,Buzmeyin,279.15,90,38.05,2.1,93
251,Lagoa,288.15,75,37.14,11.8,100
252,Grand-Santi,296.648,92,4.27,1.16,97
253,Anchorage,270.35,75,61.22,0.21,92
254,Mackay,269.15,90,53.65,4.1,92
255,Estevan,267.15,75,49.14,1.31,85
256,Kavieng,301.623,36,-2.57,4.11,100
257,Maldonado,294.15,0,-34.91,3.1,83
258,Thompson,247.15,90,55.74,2.1,75
259,Muncar,301.973,8,-8.43,1.21,87
260,Bang Bo,301.15,40,13.57,2.6,78
261,Khatanga,240.048,68,71.98,4.16,44
262,Teahupoo,303.15,75,-17.83,7.7,74
263,Inhambane,298.723,76,-23.87,2.71,94
264,Faanui,301.898,56,-16.48,8.21,99
265,Tarrafal,293.15,75,15.28,8.7,77
266,Kameyama,279.15,20,34.86,12.9,52
267,Inuvik,247.15,75,68.36,1.5,75
268,Flinders,293.15,90,-34.58,5.1,64
269,Sao Miguel do Araguaia,296.548,0,-13.28,1.21,84
270,Comodoro Rivadavia,287.15,0,-45.87,1.0,58
271,High Level,251.15,5,58.52,2.1,69
272,Salinas,287.15,40,36.67,2.1,82
273,Cayenne,298.15,75,4.94,1.0,88
274,Sao Joao da Barra,300.798,12,-21.64,11.16,96
275,Diffa,287.348,0,13.32,2.56,41
276,Ostrovnoy,259.698,88,68.05,3.26,89
277,Manavalakurichi,300.15,20,8.13,1.5,65
278,Garden City,264.25,20,40.73,6.2,39
279,Sistranda,272.15,0,63.73,13.4,58
280,Galle,288.15,90,29.74,4.1,89
281,Kununurra,304.15,40,-15.77,3.1,58
282,Sete,276.198,88,27.58,0.71,76
283,Yar-Sale,233.598,8,66.83,1.46,86
284,Sitangkai,300.798,48,4.66,7.06,98
285,Sao Jose da Coroa Grande,298.823,92,-8.9,1.91,87
286,Kiknur,267.248,92,57.3,4.01,87
287,Carutapera,299.373,64,-1.2,3.61,89
288,Santo Tomas,293.898,92,17.4,1.31,100
289,Leshukonskoye,263.973,88,64.9,1.26,91
290,Jiuquan,253.198,0,39.73,1.06,40
291,Achalpur,290.648,0,21.25,3.31,48
292,Kudahuvadhoo,301.098,0,2.67,6.16,99
293,Sungaipenuh,294.448,68,-2.08,0.51,94
294,Necochea,294.123,0,-38.55,7.26,62
295,Denton,286.45,90,33.22,4.91,84
296,Maragogi,298.823,92,-9.01,1.91,87
297,Longhua,282.123,88,29.21,1.81,100
298,Kaeo,299.123,88,-35.1,2.51,54
299,Bonthe,298.748,0,7.53,2.21,88
300,Toamasina,297.15,40,-18.17,4.1,94
301,Kiama,293.15,90,-34.67,5.1,64
302,Baghdad,281.15,8,33.3,1.5,100
303,Ballina,272.598,20,54.11,6.01,100
304,Araouane,283.648,0,18.9,2.86,41
305,Port Hardy,280.15,90,50.7,5.7,75
306,Havre-Saint-Pierre,256.15,75,50.23,8.2,70
307,Aqtobe,254.15,0,50.28,1.0,84
308,Turbat,280.298,0,26.0,1.51,59
309,Maceio,297.15,20,-9.67,0.5,88
310,Mandera,293.723,0,3.94,2.21,49
311,Fuerte Olimpo,302.473,0,-21.04,2.16,52
312,Luancheng,276.15,0,37.88,3.0,25
313,Sao Gabriel da Cachoeira,297.623,20,-0.13,0.91,94
314,Huarmey,293.348,20,-10.07,1.06,87
315,Hambantota,299.15,0,6.12,4.6,83
316,Roald,275.15,76,62.58,7.7,51
317,San Quintin,300.248,20,17.54,1.91,56
318,Yaqui,290.15,75,27.37,1.0,67
319,Namibe,296.298,32,-15.19,2.61,100
320,Hervey Bay,304.15,40,-25.3,6.7,52
321,Constitucion,282.248,0,23.99,4.01,35
322,Puerto del Rosario,291.15,88,28.5,4.6,59
323,Caravelas,301.148,0,-17.73,6.36,100
324,Rio Grande,296.848,76,-32.03,2.96,100
325,Marsabit,292.973,0,2.34,2.56,79
326,Qeshm,290.15,20,26.96,2.1,87
327,Aksu,242.15,0,52.04,2.0,67
328,Aksum,276.048,0,14.12,1.21,64
329,Koumac,297.748,92,-20.56,5.56,95
330,Bardsir,273.15,0,29.93,2.1,57
331,Ust-Koksa,257.973,56,50.27,1.31,71
332,Redlands,287.55,75,34.06,4.1,71
333,Edd,286.873,0,13.93,0.61,87
334,Potiskum,287.123,0,11.71,2.86,41
335,Taraz,270.15,90,42.89,3.0,100
336,Ruteng,300.223,20,-8.61,2.21,86
337,Cidreira,295.648,36,-30.17,1.16,100
338,Sivagiri,293.473,0,9.36,1.01,79
339,Iquitos,297.15,75,-3.75,1.0,94
340,La Roche-sur-Yon,282.15,75,46.67,4.1,93
341,Jalu,279.223,0,29.03,1.86,73
342,Goya,296.948,12,-29.14,2.91,90
343,Shingu,280.15,20,33.72,7.2,45
344,Mananjary,287.198,32,-19.16,1.41,91
345,La Ronge,255.15,90,55.1,2.1,77
346,Wlodawa,274.15,90,51.55,2.6,98
347,Makakilo City,297.55,40,21.35,7.2,59
348,Nara,279.15,40,34.68,4.6,56
349,Trincomalee,299.623,0,8.58,2.86,76
350,Guadalupe y Calvo,277.223,12,26.09,0.86,74
351,Rundu,293.998,32,-17.91,3.16,82
352,Saravan,273.15,20,39.72,1.0,87
353,Angoram,302.723,76,-4.06,1.11,75
354,Fort Nelson,254.15,90,58.81,1.56,70
355,Camabatela,291.298,92,-8.19,1.11,96
356,Dano,292.148,0,11.14,1.16,58
357,Bato,298.723,44,13.36,5.26,79
358,Kastamonu,275.498,92,41.38,3.56,92
359,Norman Wells,253.15,90,65.28,4.6,70
360,Port Augusta,300.15,0,-32.49,5.1,32
361,Divnoye,270.998,92,45.91,5.46,88
362,Arraial do Cabo,298.998,8,-22.97,7.06,83
363,Sobolevo,272.448,80,54.43,4.46,99
364,Abadan,285.15,36,30.36,1.0,81
365,Akdepe,271.15,0,42.05,5.1,85
366,Lalibela,270.373,0,12.04,0.91,69
367,Matara,280.223,92,-13.74,0.86,100
368,Paamiut,271.048,80,61.99,14.56,99
369,Aguada de Pasajeros,294.15,0,22.38,4.1,77
370,Qaqortoq,265.15,76,60.72,1.5,52
371,Sierpc,269.748,44,52.85,2.41,84
372,Ivanivka,277.15,40,46.98,3.0,100
373,Andover,263.15,1,42.66,3.6,42
374,Sarangani,299.898,48,5.4,3.06,100
375,Honningsvag,267.498,0,70.98,8.26,100
376,De Aar,286.823,12,-30.65,2.86,94
377,Cervo,291.798,0,-22.19,1.31,81
378,Fukue,279.15,20,35.03,12.9,52
379,Worland,274.25,75,44.02,1.31,69
380,Gongzhuling,266.473,8,43.5,4.76,30
381,Tacna,299.15,90,-18.01,3.6,78
382,Buraydah,287.15,0,26.33,2.6,100
383,Svobodnyy,265.498,80,53.85,3.66,90
384,Tefe,296.973,76,-3.35,1.41,99
385,Grootfontein,293.698,0,-19.56,5.26,67
386,Uncia,279.073,92,-18.47,0.86,100
387,Salmon Creek,280.95,1,45.71,3.6,67
388,Thunder Bay,247.15,40,48.41,1.5,62
389,Dunedin,289.098,0,-45.87,8.01,56
390,Hasaki,278.15,20,35.73,6.7,44
391,Porto Novo,297.15,0,-23.68,1.5,78
392,Cherskiy,240.098,32,68.75,2.21,44
393,Danielskuil,288.598,100,-28.19,3.06,98
394,Byron Bay,307.15,20,-28.65,7.2,48
395,Mao,297.15,40,19.55,3.1,88
396,Sturgis,279.15,1,44.41,7.2,41
397,Manihari,290.448,24,25.34,1.66,74
398,Terrell,285.95,90,32.74,2.6,74
399,Inhapim,293.148,8,-19.55,1.76,84
400,Los Llanos de Aridane,289.15,40,28.66,1.5,67
401,Durant,284.15,90,33.99,2.1,81
402,Paragominas,296.123,92,-3.0,2.11,96
403,Berlevag,260.448,12,70.86,3.21,100
404,Honolulu,297.55,40,21.3,7.2,59
405,Lanzhou,265.15,0,36.06,1.0,57
406,Casa Nova,296.473,0,-11.77,3.11,79
407,Taoudenni,280.398,0,22.68,2.41,51
408,Kokuy,254.073,68,52.2,1.61,66
409,Husavik,249.323,64,50.56,5.96,72
410,Ayan,273.723,68,40.67,3.21,94
411,Chumikan,255.998,32,54.72,5.11,61
412,Cap Malheureux,298.15,40,-19.98,7.51,88
413,Humaita,294.15,0,-24.93,1.0,88
414,Kiboga,289.748,0,0.92,2.06,67
415,Nsanje,296.848,8,-16.92,1.86,79
416,Pangnirtung,249.998,24,66.15,1.81,51
417,Karabulak,260.398,64,44.91,1.41,89
418,Shitanjing,264.448,0,39.23,1.21,39
419,Solnechnyy,260.298,68,50.72,2.41,63
420,Fershampenuaz,260.198,68,53.52,4.96,85
421,Yanam,295.15,0,16.73,3.1,78
422,Bam,272.798,8,29.11,1.66,69
423,Kirovo-Chepetsk,269.398,92,58.54,5.46,94
424,Marathon,247.698,0,48.72,3.41,100
425,Lata,273.623,92,30.78,0.61,100
426,Tabou,300.098,92,4.42,3.31,100
427,Vagur,276.798,0,61.47,9.81,100
428,Sovetskiy,265.848,76,56.76,5.41,92
429,Kysyl-Syr,235.998,32,63.9,2.76,64
430,Rong Kwang,295.15,20,18.34,1.66,78
431,Aswan,280.648,0,24.09,2.56,93
432,Aksarka,227.598,0,66.56,1.26,0
433,Lipari,286.15,75,38.47,1.5,66
434,Salalah,294.15,0,17.01,2.6,77
435,Tucumcari,277.55,1,35.17,2.1,21
436,Naze,299.15,20,5.43,1.81,94
437,Tura,289.448,48,25.52,1.81,72
438,Sorland,276.573,56,67.67,6.21,100
439,Lubaczow,271.048,76,50.16,2.51,97
440,Waingapu,298.598,80,-9.65,4.01,96
441,Vieques,297.05,20,18.43,4.1,73
442,Nha Trang,300.15,40,12.24,5.7,57
443,Archidona,288.873,92,-0.91,1.31,100
